"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1960","1960","USD_BAR","US dollars per barrel","0","Units",,,2.78294076328729,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1961","1961","USD_BAR","US dollars per barrel","0","Units",,,2.78294076328729,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1962","1962","USD_BAR","US dollars per barrel","0","Units",,,2.78294076328729,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1963","1963","USD_BAR","US dollars per barrel","0","Units",,,2.78294076328729,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1964","1964","USD_BAR","US dollars per barrel","0","Units",,,2.75951533598689,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1965","1965","USD_BAR","US dollars per barrel","0","Units",,,2.73608990868649,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1966","1966","USD_BAR","US dollars per barrel","0","Units",,,2.75170686022009,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1967","1967","USD_BAR","US dollars per barrel","0","Units",,,2.83603839850152,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1968","1968","USD_BAR","US dollars per barrel","0","Units",,,2.87664247248888,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1969","1969","USD_BAR","US dollars per barrel","0","Units",,,3.08747131819246,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1970","1970","USD_BAR","US dollars per barrel","0","Units",,,3.13978810583002,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1971","1971","USD_BAR","US dollars per barrel","0","Units",,,3.33578084757668,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1972","1972","USD_BAR","US dollars per barrel","0","Units",,,3.33578084757668,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1973","1973","USD_BAR","US dollars per barrel","0","Units",,,3.62859868883166,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1974","1974","USD_BAR","US dollars per barrel","0","Units",,,9.71920978693515,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1975","1975","USD_BAR","US dollars per barrel","0","Units",,,10.4571107468977,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1976","1976","USD_BAR","US dollars per barrel","0","Units",,,11.8485811285413,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1977","1977","USD_BAR","US dollars per barrel","0","Units",,,13.3954401779443,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1978","1978","USD_BAR","US dollars per barrel","0","Units",,,13.9147038164364,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1979","1979","USD_BAR","US dollars per barrel","0","Units",,,20.99308709904,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1980","1980","USD_BAR","US dollars per barrel","0","Units",,,35.0210138140951,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1981","1981","USD_BAR","US dollars per barrel","0","Units",,,34.3572933739172,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1982","1982","USD_BAR","US dollars per barrel","0","Units",,,31.5173507375322,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1983","1983","USD_BAR","US dollars per barrel","0","Units",,,28.4806345118239,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1984","1984","USD_BAR","US dollars per barrel","0","Units",,,27.4316438773122,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1985","1985","USD_BAR","US dollars per barrel","0","Units",,,26.2109448606884,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1986","1986","USD_BAR","US dollars per barrel","0","Units",,,14.0927370639195,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1987","1987","USD_BAR","US dollars per barrel","0","Units",,,18.052154218372,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1988","1988","USD_BAR","US dollars per barrel","0","Units",,,14.9408333333333,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1989","1989","USD_BAR","US dollars per barrel","0","Units",,,18.2408333333333,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1990","1990","USD_BAR","US dollars per barrel","0","Units",,,23.7080956604834,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1991","1991","USD_BAR","US dollars per barrel","0","Units",,,20.0262576250167,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1992","1992","USD_BAR","US dollars per barrel","0","Units",,,19.3018613408167,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1993","1993","USD_BAR","US dollars per barrel","0","Units",,,17.0292640203417,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1994","1994","USD_BAR","US dollars per barrel","0","Units",,,15.8273908329834,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1995","1995","USD_BAR","US dollars per barrel","0","Units",,,17.0313946106833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1996","1996","USD_BAR","US dollars per barrel","0","Units",,,20.6286794536833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1997","1997","USD_BAR","US dollars per barrel","0","Units",,,19.1459497648833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1998","1998","USD_BAR","US dollars per barrel","0","Units",,,12.8026752425333,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","1999","1999","USD_BAR","US dollars per barrel","0","Units",,,17.8529756836,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2000","2000","USD_BAR","US dollars per barrel","0","Units",,,28.4381826425666,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2001","2001","USD_BAR","US dollars per barrel","0","Units",,,24.4611995647083,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2002","2002","USD_BAR","US dollars per barrel","0","Units",,,24.9729355302584,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2003","2003","USD_BAR","US dollars per barrel","0","Units",,,28.82125716795,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2004","2004","USD_BAR","US dollars per barrel","0","Units",,,38.2588946324167,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2005","2005","USD_BAR","US dollars per barrel","0","Units",,,54.444288239525,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2006","2006","USD_BAR","US dollars per barrel","0","Units",,,65.1905885512833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2007","2007","USD_BAR","US dollars per barrel","0","Units",,,72.5008953212833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2008","2008","USD_BAR","US dollars per barrel","0","Units",,,97.0230356028334,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2009","2009","USD_BAR","US dollars per barrel","0","Units",,,61.5371581486,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2010","2010","USD_BAR","US dollars per barrel","0","Units",,,79.4861978261834,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2011","2011","USD_BAR","US dollars per barrel","0","Units",,,111.230590396717,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2012","2012","USD_BAR","US dollars per barrel","0","Units",,,111.582794903925,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2013","2013","USD_BAR","US dollars per barrel","0","Units",,,108.680810488417,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2014","2014","USD_BAR","US dollars per barrel","0","Units",,,98.9859181331915,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2015","2015","USD_BAR","US dollars per barrel","0","Units",,,52.4453077299667,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2016","2016","USD_BAR","US dollars per barrel","0","Units",,,43.6720459956667,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2017","2017","USD_BAR","US dollars per barrel","0","Units",,,54.2343538109333,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2018","2018","USD_BAR","US dollars per barrel","0","Units",,,70.9908448658167,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2019","2019","USD_BAR","US dollars per barrel","0","Units",,,64.2134267284666,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2020","2020","USD_BAR","US dollars per barrel","0","Units",,,41.5909506366417,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2021","2021","USD_BAR","US dollars per barrel","0","Units",,,70.6392846431833,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2022","2022","USD_BAR","US dollars per barrel","0","Units",,,102.550698337799,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2023","2023","USD_BAR","US dollars per barrel","0","Units",,,95,,
"WLD","World","WPBRENT","Crude oil price, FOB, USD per barrel, spot Brent","A","Annual","2024","2024","USD_BAR","US dollars per barrel","0","Units",,,95,,
