Variable;Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Population 0 to 14 years (NPCN);Belgium;-;-;-;1939.382;1940.84;1936.754;1930.881;1924.581;1916.044;1905.53;1895.965;1886.242;1874.084;1849.765;1823.555;1807.666;1799.092;1796.915;1795.48;1796.149;1800.069;1803.972;1805.168;1804.937;1805.017;1806.277;1809.257;1814.111;1821.92;1828.817;1830.106;1825.335;1816.266;1806.216;1800.873;1801.538;1806.722;1822.719;1848.657;1880.07;1907.276;1932.124;1956.398;1982.317;2019.014;2060.456;2100.912;2140.01;2177.162;2210.849;2237.474;2257.046;2269.572;2277.809;2285.621;2289.389;2287.54;2277.259;2259.022;2234.499;2211.532;2196.319;2181.63;2154.074
Population 0 to 14 years (NPCN);Bulgaria;-;-;-;1000.636;1003.552;1004.61;1002.698;999.613;998.201;997.17;993.067;984.973;977.544;975.66;977.044;982.4;994.68;1012.991;1038.643;1072.079;1110.809;1152.177;1219.833;1283.72;1320.817;1364.132;1412.532;1459.436;1504.731;1550.697;1594.086;1649.65;1713.875;1772.157;1844.564;1896.483;1910.117;1921.229;1936.432;1953.055;1966.328;1970.477;1966.154;1961.71;1954.608;1955.195;1957.76;1949.231;1941.505;1930.82;1920.664;1922.393;1930.202;1937.879;1940.244;1939.566;1948.575;1964.134;1985.411;2008.718;2026.149;2037.736;2047.132;2050.901
Population 0 to 14 years (NPCN);Czechia;-;-;-;1714.971;1701.631;1681.869;1658.976;1635.495;1612.381;1589.25;1568.876;1550.769;1531.503;1507.848;1485.494;1474.831;1473.678;1485.789;1509.957;1537.06;1568.967;1603.501;1641.07;1684.623;1729.338;1773.252;1818.856;1867.969;1920.642;1978.929;2037.189;2092.674;2148.22;2214.174;2284.363;2339.13;2377.596;2402.367;2417.181;2424.774;2425.982;2422.373;2416.958;2410.846;2397.806;2372.487;2332.869;2280.95;2222.013;2158.694;2106.237;2080.913;2078.719;2098.359;2127.402;2156.456;2191.701;2228.401;2261.543;2285.296;2309.65;2353.033;2408.402;2452.874
Population 0 to 14 years (NPCN);Denmark;-;-;-;950.951;955.294;959.02;961.069;960.921;961.461;965.659;973.133;982.027;990.773;998.203;1004.702;1009.002;1012.035;1015.016;1017.012;1017.862;1015.312;1009.124;999.786;987.759;974.396;959.916;944.567;928.314;910.298;895.084;885.907;878.754;874.287;877.093;884.93;895.294;909.619;926.542;942.923;960.045;980.839;1006.309;1037.592;1068.151;1091.918;1111.157;1126.203;1136.85;1143.432;1147.056;1149.029;1148.634;1147.064;1148.036;1150.956;1153.733;1152.404;1142.796;1131.981;1124.996;1122.089;1126.862;1138.806;1154.357
Population 0 to 14 years (NPCN);Germany;-;-;-;11434.53;11341.037;11231.287;11110.164;10964.847;10783.925;10664.578;10662.668;10727.955;10857.104;10981.918;11080.87;11210.401;11361.531;11545.619;11787.265;12043.384;12288.845;12517.212;12698.043;12837.128;12938.529;13039.227;13142.829;13212.866;13266.41;13301.018;13274.805;13170.851;13018.648;12788;12502.352;12258.07;12176.763;12261.818;12436.779;12757.268;13186.159;13629.626;14062.383;14472.384;14909.135;15402.448;15906.517;16416.988;16929.502;17370.355;17706.609;17948.96;18059.488;18138.646;18152.957;18019.323;17844.11;17621.258;17352.908;17063.354;16718.797;16333.829;15942.736;15498.705
Population 0 to 14 years (NPCN);Estonia;-;-;-;218.587;218.063;216.325;214.418;212.527;210.552;208.843;207.424;206.214;204.849;202.86;200.655;199.05;199.135;201.46;206.01;212.715;220.9;229.62;238.095;246.305;255.455;266.016;276.375;286.63;297.232;308.047;320.15;334.309;345.102;349.208;349.436;347.675;345.261;342.581;339.949;336.941;333.354;329.017;324.294;319.933;316.782;314.857;313.187;311.883;311.06;310.201;309.01;306.911;303.172;299.587;298.232;296.939;295.78;295.634;294.477;292.231;289.742;286.47;282.381;278.267
Population 0 to 14 years (NPCN);Ireland;-;-;-;1003.24;1006.912;1007.103;1007.452;1006.479;1002.955;999.21;994.972;989.382;978.967;962.687;942.693;919.757;893.402;870.783;856.613;846.295;837.196;830.161;827.558;828.153;830.267;835.114;843.854;856.718;873.589;893.18;911.854;926.883;938.707;951.735;968.991;988.867;1008.071;1011.766;1022.031;1043.832;1051.8;1052.45;1046.55;1037.895;1030.245;1019.95;1008.35;997.65;985.65;972.3;958.85;946.2;934.3;923.8;915.7;910.2;906.05;901.75;897.7;893.8;888.95;883.25;878.5;875.9
Population 0 to 14 years (NPCN);Greece;-;-;-;1519.127;1532.297;1541.871;1550.668;1555.716;1567.341;1589.011;1607.861;1620.849;1627.167;1627.895;1625.546;1621.071;1623.023;1633.528;1647.056;1663.584;1683.399;1701.187;1638.64;1577.501;1599.533;1629.452;1664.571;1706.863;1756.784;1806.826;1855.185;1901.36;1945.941;1973.57;1999.232;2041.01;2080.667;2117.513;2114.607;2107.105;2131.243;2156.174;2178.59;2199.782;2213.581;2205.423;2193.319;2175.822;2160.391;2165.919;2181.075;2193.811;2201.634;2166.463;2202.275;2200.508;2192.255;2187.258;2184.444;2178.299;2173.308;2182.169;2197.064;-
Population 0 to 14 years (NPCN);Spain;-;-;-;6818.233;6903.635;6954.34;6991.872;7015.29;7037.24;7058.017;7078.476;7083.469;7045.32;6973.746;6884.558;6758.847;6604.081;6453.03;6320.987;6212.7;6108.458;6003.129;5948.8;5967.867;6032.162;6129.178;6255.142;6409.161;6589.544;6789.844;7004.478;7223.154;7456.619;7729.444;8014.392;8278.022;8526.103;8758.25;8967.939;9155.161;9325.244;9484.18;9622.417;9731.484;9820.47;9871.92;9870.522;9829.78;9780.41;9723.025;9655.287;9590.788;9508.071;9368.5;9257.831;9141.731;9007.471;8869.905;8756.172;8663.708;8578.381;8502.03;8428.86;8268.929
Population 0 to 14 years (NPCN);France;-;-;-;11997.67;12076.064;12146.039;12200.265;12252.622;12314.738;12336.363;12259.995;12161.83;12099.858;12038.419;11966.95;11881.009;11811.006;11755.219;11715.959;11699.675;11685.821;11668.191;11640.018;11596.113;11550.107;11537.249;11576.952;11648.626;11725.843;11792.462;11835.235;11853.531;11837.121;11814.892;11822.831;11875.043;11969.037;12076.498;12173.829;12259.536;12340.298;12394.346;12438.803;12502.026;12597.847;12731.569;12851.662;12966.612;13078.166;13167.353;13205.937;13180.975;13127.665;13070.94;13033.786;13003.528;12987.76;12968.271;12945.733;12921.071;12875.216;12771.324;12653.309;12492.066
Population 0 to 14 years (NPCN);Croatia;-;-;-;578.179;584.629;591.09;598.922;607.461;616.261;624.344;632.089;640.853;650.04;657.805;662.359;666.123;670.335;676.468;683.513;690.694;700.473;710.982;719.675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Italy;-;-;-;7682.05;7799.72;7976.032;8131.38;8232.222;8332.491;8415.627;8398.235;8336.778;8338.708;8347.465;8327.107;8284.328;8237.59;8209.52;8190.077;8158.806;8131.101;8110.07;8109.044;8133.236;8157.897;8191.056;8234.534;8284.615;8352.914;8444.705;8558.785;8685.751;9001.601;9387.855;9676.622;9982.923;10299.118;10637.02;10964.027;11283.257;11601.027;11904.016;12234.301;12569.866;12872.066;13118.369;13281.708;13380.46;13436.738;13432.158;13365.991;13283.161;13243.39;13225.45;13162.2;13063.85;12941.75;12797.65;12662.1;12532.75;12447.75;12436.25;12468.6;12432.9
Population 0 to 14 years (NPCN);Cyprus;-;-;-;143.044;141.794;140.747;139.798;139.423;139.372;139.402;140.696;142.015;141.777;141.078;140.778;140.974;142.071;143.497;145.02;146.733;148.634;150.754;153.654;156.484;158.436;160.241;161.404;161.713;161.541;160.529;158.414;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Latvia;-;-;-;304.083;305.134;305.186;304.439;301.924;298.99;296.052;293.35;292.239;293.353;297.419;302.439;305.828;310.443;318.697;330.169;344.7;360.983;378.61;398.316;418.408;438.072;458.867;479.333;497.445;513.887;529.104;544.382;560.592;569.473;571.01;571.331;567.147;559.895;553.034;546.977;540.774;533.547;526.335;520.324;515.202;511.632;511.388;512.869;514.68;516.046;515.976;515.743;514.549;511.939;511.035;-;-;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Lithuania;-;-;-;422.556;422.301;421.647;421.78;422.934;424.605;427.775;433.332;440.318;449.24;462.228;475.856;489.624;509.144;532.837;559.289;586.275;612.175;640.425;671.166;698.447;720.136;740.212;758.47;774.582;790.187;805.993;820.226;829.453;833.147;833.738;832.998;829.433;823.945;819.24;815.578;812.387;809.142;806.148;804.044;802.661;802.016;806.372;814.774;823.346;832.454;841.145;848.641;852.07;850.022;847.49;-;-;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Luxembourg;-;-;-;100.736;99.342;97.865;96.523;95.407;94.319;93.151;91.894;90.604;90.009;89.577;88.852;88.206;87.546;86.891;86.17;85.497;84.809;84.203;83.535;82.604;81.26;79.705;78.218;76.755;75.228;73.5;71.636;69.756;67.981;66.264;64.717;63.445;62.696;62.615;63.072;63.904;64.988;66.237;67.321;68.336;68.014;67.819;69.23;70.61;71.73;72.75;73.754;74.573;75.052;75.052;75.099;75.299;75.499;75.099;74.1;72.6;71;69.5;68.1;67.3
Population 0 to 14 years (NPCN);Hungary;-;-;-;1419.284;1421.538;1421.827;1422.391;1423.657;1425.817;1426.501;1428.34;1435.578;1448.75;1467.033;1484.732;1500.705;1519.228;1541.549;1566.57;1592.907;1619.903;1646.901;1676.055;1710.623;1745.845;1777.63;1808.606;1841.605;1875.277;1910.65;1950.953;1995.546;2043.37;2099.27;2166.672;2218.026;2245.8;2268.467;2288.56;2311.74;2337.348;2356.249;2359.529;2348.738;2319.766;2279.822;2236.982;2189.545;2142.676;2100.717;2082.27;2086.672;2108.877;2151.481;2202.384;2249.018;2283.412;2317.026;2361.836;2408.902;2452.805;2494.676;2520.078;2527.364
Population 0 to 14 years (NPCN);Malta;-;-;-;69.235;68.331;66.867;65.657;64.456;63.33;62.321;61.626;61.551;61.954;62.762;63.775;64.913;66.428;68.294;70.173;71.971;73.629;75.167;76.633;77.399;78.134;79.392;80.57;80.069;80.088;81.653;82.378;82.712;82.906;83.109;83.054;82.756;82.598;82.535;81.566;80.233;-;-;77.619;76.873;76.311;75.963;75.871;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Netherlands;-;-;-;2718.915;2732.959;2751.222;2772.196;2790.77;2813.419;2838.57;2863.998;2887.291;2901.867;2909.993;2917.984;2929.391;2947.169;2971.6;2996.579;3012.139;3012.896;3004.168;2987.893;2961.541;2930.727;2899.42;2872.142;2854.587;2843.094;2827.05;2803.397;2777.987;2751.624;2726.601;2712.229;2714.148;2732.112;2766.874;2819.22;2890.117;2966.573;3038.328;3103.88;3159.172;3216.182;3281.372;3347.274;3411.39;3463.209;3505.489;3543.809;3565.946;3568.817;3557.509;3537.31;3519.526;3508.264;3494.152;3474.461;3453.484;3439.902;3439.847;3453.385;3443.76
Population 0 to 14 years (NPCN);Austria;-;-;-;1284.274;1280.876;1275.847;1268.371;1255.294;1236.43;1222.429;1219.104;1221.749;1229.27;1239.787;1253.164;1269.185;1286.259;1303.953;1317.815;1326.436;1334.564;1342.531;1352.476;1365.465;1377.374;1388.451;1400.463;1410.822;1415.839;1414.955;1406.126;1387.111;1362.757;1345.497;1338.323;1337.957;1346.405;1362.814;1383.801;1410.301;1443.473;1480.33;1511.616;1541.4;1582.063;1630.781;1678.141;1721.088;1760.725;1792.645;1812.961;1822.719;1823.899;1819.263;1807.165;1786.74;1760.482;1729.419;1698.122;1667.412;1638.801;1615.872;1589.456;1553.51
Population 0 to 14 years (NPCN);Poland;-;-;-;5859.566;5847.931;5810.29;5759.556;5720.589;5711.822;5716.758;5730.798;5752.953;5783.8;5811.852;5824.29;5865.159;5961.619;6105.768;6283.206;6478.704;6692.218;6921.744;7166.837;7438.188;7721.486;8015.282;8307.787;8562.111;8800.334;9016.941;9194.222;9343.959;9466.792;9567.827;9760.303;9845.237;9834.094;9787.664;9673.848;9515.25;9318.441;9122.906;8952.055;8798.042;8650.184;8531.332;8439.515;8359.186;8326.031;8351.889;8438.917;8580.055;8744.835;8932.144;9153.136;9366.286;9552.143;9749.712;9955.733;10107.474;10166.338;10230.7;10227.441;10075.191
Population 0 to 14 years (NPCN);Portugal;-;-;-;1389.807;1402.276;1415.731;1433.156;1451.624;1475.537;1506.048;1536.028;1561.55;1584.037;1606.583;1624.489;1637.41;1650.412;1662.984;1672.366;1678.297;1681.801;1681.127;1679.191;1685.078;1695.471;1707.309;1726.209;1750.733;1781.617;1817.412;1854.577;1899.919;1959.671;2037.26;2120.494;2192.503;2258.096;2317.753;2369.21;2409.668;2442.262;2470.636;2493.638;2519.445;2544.03;2559.245;2562.635;2554.275;2507.745;2448.615;2443.015;2459.67;2464.665;2492.895;2544.945;2576;2587.745;2598.645;2610.555;2617.31;2620.025;2615.84;2600.138;2592.423
Population 0 to 14 years (NPCN);Romania;-;-;-;3029.161;3036.81;3050.561;3059.074;3062.99;3073.898;3087.847;3117.109;3161.929;3190.884;3201.793;3213.992;3297.039;3470.233;3578.545;3662.347;3753.985;3788.375;3830.83;3952.215;4103.511;4210.689;4298.859;4385.503;4504.304;4652.039;4804.08;4953.718;5105.874;5288.934;5452.223;5533.624;5558.665;5562.445;5573.766;5610.459;5688.517;5827.79;6000.292;6031.757;5932.066;5847.231;5746.286;5620.679;5502.819;5382.656;5284.073;5246.313;5243.756;5243.789;5243.444;5212.761;5154.793;-;-;-;-;-;-;-;-
Population 0 to 14 years (NPCN);Slovenia;-;-;-;316.767;314.754;312.191;309.636;307.492;305.35;302.681;299.574;296.122;292.501;289.064;285.665;282.225;280.738;282.15;284.95;289.094;295.314;302.92;310.064;316.89;324.501;333.349;343.23;354.432;364.525;373.999;384.821;395.539;405.964;414.655;421.221;426.453;430.047;432.226;433.562;434.718;435.695;435.842;435.543;434.49;432.764;430.511;427.846;424.906;421.85;418.619;415.351;412.637;411.232;411.626;414.076;418.291;423.535;428.767;433.188;436.57;439.036;440.608;441.41;441.542
Population 0 to 14 years (NPCN);Slovakia;-;-;-;866.007;860.881;853.872;844.964;836.136;831.112;830.053;830.251;831.574;832.064;833.383;837.527;847.082;863.652;884.38;907.748;932.224;959.843;990.963;1020.42;1051.622;1085.607;1117.76;1149.288;1180.093;1210.638;1241.01;1267.468;1290.189;1315.992;1338.237;1353.776;1365.861;1371.553;1370.682;1363.447;1352.79;1339.31;1323.789;1309.878;1299.949;1289.362;1275.543;1260.745;1246.351;1234.914;1224.728;1218.924;1222.105;1232.765;1244.091;1256.229;1273.515;1292.727;1310.099;1322.636;1327.263;1326.982;1326.585;1319.027;1281.41
Population 0 to 14 years (NPCN);Finland;-;-;-;865.949;876.635;886.329;892.301;895.101;896.315;895.815;893.207;890.187;888.33;888;889.743;892.876;897.886;904.043;910.732;917.329;923.553;929.298;933.96;939.667;947.073;956.248;964.959;970.169;972.007;971.487;969.505;966.939;964.901;963.236;961.125;956.462;952.278;951.572;951.519;950.923;951.19;954.416;961.001;970.609;982.898;997.509;1011.144;1023.8;1037.085;1050.938;1067.014;1085.894;1107.28;1134.013;1164.202;1187.812;1204.867;1220.595;1239.096;1261.278;1283.414;1305.556;1328.493;1346.813
Population 0 to 14 years (NPCN);Sweden;-;-;-;1836.309;1827.275;1807.203;1777.836;1739.068;1699.588;1664.067;1628.98;1598.065;1574.615;1557.201;1545.922;1542.067;1545.66;1555.182;1572.179;1591.286;1605.458;1616.1;1625.537;1635.25;1644.082;1651.457;1657.939;1663.394;1664.014;1649.092;1620.746;1591.55;1562.664;1535.026;1514.969;1504.387;1502.202;1507.859;1516.567;1527.531;1545.119;1571.153;1600.676;1628.356;1654.46;1677.451;1691.179;1696.212;1695.244;1690.717;1688.462;1687.633;1684.359;1676.441;1664.598;1656.642;1649.041;1634.676;1619.626;1610.119;1613.086;1628.815;1651.108;1678.735
Population 15 to 64 years (NPAN);Belgium;7432.069;7417.235;7406.126;7387.657;7363.089;7342.243;7331.328;7327.769;7311.229;7290.967;7286.626;7278.591;7260.22;7198.835;7124.469;7074.056;7011.714;6941.503;6878.878;6835.178;6804.809;6774.421;6743.339;6723.898;6715.128;6708.71;6706.149;6703.182;6703.817;6702.675;6693.531;6681.929;6674.986;6673.793;6674.496;6665.781;6653.583;6650.295;6646.672;6626.914;6586.214;6535.184;6501.444;6471.031;6423.89;6385.921;6348.455;6304.991;6258.802;6208.561;6165.774;6132.447;6098.519;6084.595;6079.89;6064.854;6048.417;6030.336;6008.854;5971.782;5926.831;5890.959;5891.006;5903.989
Population 15 to 64 years (NPAN);Bulgaria;4315.126;4352.966;4391.139;4429.311;4473.606;4532.913;4596.237;4661.258;4728.732;4797.769;4865.479;4932.64;5000.019;5065.482;5122.14;5170.341;5214.454;5252.708;5283.694;5307.489;5327.037;5347.528;5455.185;5558.466;5574.854;5593.034;5612.889;5627.563;5639.246;5650.137;5657.087;5692.199;5743.918;5797.516;5906.383;5982.074;5987.042;5993.569;6004.468;6003.668;5967.806;5917.266;5871.277;5848.518;5848.376;5849.816;5848.485;5837.207;5832.79;5828.205;5806.209;5785.509;5763.918;5737.532;5706.918;5669.206;5625.483;5579.879;5531.324;5471.698;5405.772;5344.899;5284.402;5225.626
Population 15 to 64 years (NPAN);Czechia;6766.358;6786.718;6807.14;6837.911;6861.115;6884.659;6920.909;6970.169;7027.27;7083.122;7148.816;7225.49;7295.382;7348.318;7380.507;7375.286;7327.812;7284.136;7256.24;7231.591;7204.812;7177.379;7163.011;7156.08;7139.764;7114.471;7090.221;7067.008;7042.355;7005.121;6957.116;6904.841;6851.85;6822.141;6791.392;6747.495;6720.475;6707.258;6697.628;6679.775;6640.712;6586.966;6534.522;6506.913;6497.293;6487.602;6491.085;6503.439;6519.324;6539.053;6552.039;6550.664;6540.799;6571.626;6599.461;6578.028;6551.62;6518.011;6477.738;6435.468;6384.432;6321.898;6254.536;6237.402
Population 15 to 64 years (NPAN);Denmark;3762.816;3747.825;3732.893;3714.322;3713.101;3708.553;3698.293;3682.292;3659.247;3638.885;3628.531;3625.603;3628.867;3631.16;3629.215;3620.351;3605.51;3593.369;3584.655;3578.12;3573.797;3570.339;3565.733;3560.685;3556.969;3553.336;3548.196;3540.508;3525.987;3511.225;3500.511;3488.962;3477.009;3462.639;3449.501;3440.752;3428.993;3412.613;3399.274;3387.762;3375.204;3360.006;3339.229;3316.783;3295.442;3275.05;3257.975;3245.174;3238.873;3235.494;3225.414;3209.911;3196.865;3175.777;3150.015;3133.581;3118.388;3101.67;3084.835;3065.701;3042.274;3011.982;2975.559;2940.03
Population 15 to 64 years (NPAN);Germany;52808.203;53032.354;53277.457;53545.183;53764.818;53877.874;53937.131;53978.88;53708.242;53347.162;53198.955;53038.575;53458.785;53921.995;54006.059;54275.817;54495.824;54746.15;55063.395;55359.153;55595.924;55719.012;55772.014;55851.747;55952.361;55991.033;55980.345;55907.351;55774.53;55686.309;55613.337;55349.371;55022.887;54791.779;54493.191;54203.715;54077.378;54002.664;53931.168;53830.813;53500.644;52963.272;52317.571;51602.96;51002.333;50585.682;50302.146;50117.503;50067.497;50087.861;49922.564;49639.609;49367.372;49349.799;49280.182;48999.962;49066.036;49210.404;49100.357;48984.449;48951.405;48857.171;48861.994;48958.412
Population 15 to 64 years (NPAN);Estonia;837.011;839.114;841.699;842.471;844.767;845.537;846.538;850.863;856.369;862.286;870.655;880.146;889.27;896.38;901.23;904.805;908.66;915.36;922.26;926.635;930.255;933.965;937.85;941.235;929.161;917.339;922.459;931.623;945.043;962.494;984.126;1011.274;1031.25;1037.389;1038.444;1036.625;1031.469;1023.514;1014.437;1005.247;997.591;989.728;980.648;972.769;967.349;962.385;955.901;948.858;941.833;934.508;926.475;918.18;909.956;899.959;889.207;879.555;872.238;865.54;856.143;844.784;832.687;821.456;811.313;804.702
Population 15 to 64 years (NPAN);Ireland;3367.704;3324.486;3288.707;3254.534;3223.602;3180.169;3142.354;3113.337;3084.312;3063.978;3054.687;3055.357;3064.928;3078.877;3090.117;3082.186;3030.917;2938.179;2844.263;2771.804;2715.238;2664.344;2607.192;2550.759;2501.775;2457.222;2412.831;2366.258;2323.205;2287.549;2256.404;2225.254;2191.839;2161.405;2144.06;2141.813;2142.278;2139.83;2130.579;2110.98;2086.45;2062.55;2037.5;2009.091;1981.391;1950.65;1919.05;1889.15;1856.5;1822;1788.05;1755.65;1726.25;1704.5;1690;1679.65;1671.65;1663.5;1657.05;1651.25;1643.95;1635.25;1629.95;1637.3
Population 15 to 64 years (NPAN);Greece;6664.765;6703.303;6742.115;6782.443;6814.549;6839.294;6874.059;6913.957;6972.58;7049.601;7134.209;7230.053;7314.645;7365.541;7385.007;7383.183;7367.695;7345.798;7321.994;7301.981;7288.044;7279.564;7311.309;7333.186;7317.804;7294.187;7248.111;7203.335;7158.801;7110.84;7062.627;7005.078;6930.716;6824.359;6720.405;6649.419;6592.028;6536.989;6505.555;6472.612;6408.836;6336.132;6266.758;6175.633;6088.822;6010.638;5936.798;5869.344;5779.423;5721.591;5704.283;5681.175;5645.14;5653.642;5695.213;5700.735;5674.082;5631.249;5592.388;5575.642;5568.512;5548.586;5502.137;-
Population 15 to 64 years (NPAN);Spain;31444.778;31288.336;31179.209;31228.302;31044.756;30810.878;30710.307;30710.38;30764.503;30906.847;31190.519;31494.526;31641.859;31706.453;31744.205;31613.128;31165.995;30578.634;30085.152;29550.913;28959.428;28391.735;27998.012;27840.826;27725.983;27605.162;27471.366;27305.839;27116.07;26898.383;26647.568;26371.63;26089.33;25858.493;25673.681;25489.841;25304.313;25110.013;24903.714;24670.889;24419.337;24154.104;23867.728;23580.987;23294.786;23017.367;22765.064;22527.878;22295.774;22064.512;21832.974;21602.974;21389.206;21161.757;21042.386;20912.522;20742.612;20566.183;20390.896;20212.496;20055.81;19925.256;19806.716;19527.066
